sentence,audio,preposition,id
"Да, я родилась в Звенигороде.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-19346-21067.wav,в,1
В Звенигороде.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-23350-24808.wav,в,2
"А первая школа - потому что мама работала в пансионате ""Россия"", это, от Центробанка вот в Ларюшино",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-75881-84351.wav,в,3
"Вот есть там у них свой пансионат, она там отработала, ну, приличное количество лет и получила квартиру, и мы въехали в квартиру, а на следующий год построилась первая школа на Маяковке, и я пошла в первую школу.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-84351-98447.wav,в,4
Работы не было в городе.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-159650-161960.wav,в,5
"Ну я училась хорошо, я лучше чем в школе училась в техникуме.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-179909-183056.wav,в,6
"Нет, получилось, что я после школы, вот сразу, когда в девяносто третьем я закончила школу, и в девяносто= по девяносто четвёртый я уже отучилась в техникуме в Одинцово.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-195978-207399.wav,в,7
Что она в имени в= Акулина.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-384167-386458.wav,в,8
"Представляешь, а она в крещении Акулина, а мы её здесь как Елену.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-395381-400524.wav,в,9
"И мы тут вообще в ступоре были, мы вообще не понимали, что нам делать, как бы, понимаешь, в крещении она Акулина.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-400524-406341.wav,в,10
"А баба Аня, моя бабушка, ну, Лена была в городе, а баба Аня, она в Москве была в каком-то штабе какой-то радисткой секретной.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-479111-489978.wav,в,11
"Секретное что-то там, в общем, у неё там награды были, ну у нас Олег их все забрал, брат мой, он увлекается всем этим.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-489978-496792.wav,в,12
"Ой, нет, она не медсестра, Лен, у неё награды тоже, я сейчас просто не= не ну, так вот не помню, но я по-моему с=, в редакции тогда нашли.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-531048-540119.wav,в,13
"И когда они куда-то ехали, какой-то то ли везли товар, что-то в общем.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-546994-552524.wav,в,14
"И она села за руль и привезла его, в общем, туда в этот, к месту, где там, где они стояли, вот гарнизон там или что.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-554309-561915.wav,в,15
"Не= не в тылу, а в тылу у меня баба Лена, которая моя бабушка вот.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-570377-574582.wav,в,16
В нём была= был госпиталь.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-589552-593123.wav,в,17
"И в эту ночь вот у неё, в общем, у неё была там любовь с осетином.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-659938-665272.wav,в,18
"А получилось, баба Лида была в положении, но их угнали вместо победы, угнали на японскую войну.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-679987-688383.wav,в,19
"Там, ну, как бы, тётю Ларису носила в животе.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-697112-701151.wav,в,20
"И она сказала, ну, ни в коем случае, и так вот они на какое-то время расстались.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-736560-741837.wav,в,21
"И, ну в общем, баба Лида с ним не сошлась, и с детьми приехала сюда обратно, и вот она в ПТП работала.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-781202-787903.wav,в,22
"Ну, Олег он у нас да, он в милиции работал, потом он выучился, получил юридическое образование и занялся юридическим.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-827108-835054.wav,в,23
"Убиралась, в котельне убрали, их сократили, завели автоматику.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-897870-902825.wav,в,24
В котельне оператором.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-906131-908777.wav,в,25
В турбазе.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-908777-910011.wav,в,26
"А то она, ей всё снилось, что она идёт на работу, вот меня позвали на работу, ну в общем...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-912369-918311.wav,в,27
"В общем, она опять работает.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-918311-920981.wav,в,28
"И работает в пенсионном фонде в нашем, да.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-954934-958531.wav,в,29
"Она поработала, ну, в общем, сказали, что, ну, извини, Насть, всё, как бы...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-983915-989302.wav,в,30
"Хотя у неё ещё и карта медицинская там, в Сеченово, в Москве находится.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-995164-999625.wav,в,31
"Потом она дома посидела немножко, позвал её Сашка Орлов на работу фейерверки она в городе сидела на= около перекрёстка в фейерверках зимой.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1000622-1011774.wav,в,32
Но у нас в пенсионном никак не получалось...,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1034752-1038163.wav,в,33
А тут прямо совсем-совсем в пенсионном,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1053120-1055867.wav,в,34
"И она чисто вот в программах уже, она ну вот это вот...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1099461-1104320.wav,в,35
"А они уже в программах какие-то расчёты, перерасчёты заводят.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1125296-1129866.wav,в,36
"Они в отдельном кабинете, к ним люди не ходят.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1129866-1132894.wav,в,37
"То есть у неё уже на руках документ, и она уже в институте.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1163433-1170252.wav,в,38
"И в Одинцово, пока она была в замах, она работала, на ней всё держалось, и, ну, она работала.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1302160-1309588.wav,в,39
А в две тысячи первом я пошла учиться в колледж.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1372438-1376240.wav,в,40
"В колледже я училась, а потом там же была база вечернего института.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1376240-1381911.wav,в,41
"Да, да, я в редакции, я ещё училась.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1398291-1401469.wav,в,42
"Нет, в колледже финансовом.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1403716-1406109.wav,в,43
"Я понимаю, что я в своей стихии.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1514115-1516656.wav,в,44
"Нет, десять лет в этом управлении, ну, профильно.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1608442-1613657.wav,в,45
"Это у меня неделя выходная, я в отпуске, а в субботу не пошла, говорю, сэкономлю.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1635240-1640884.wav,в,46
